Year,SERIES,ເຂດອ້າງອີງ,ເພດ,UNIT_MEASURE,GeoCode,Value
2010,ສ່ວນປະ ເທດ ທີ່ ໄດ້ ດໍາ ເນີນ ການ ສໍາ ຫລວດ ປະ ຊາ ຊົນ ແລະ ທີ່ ຢູ່ ອາ ໄສ ຢ່າງ ຫນ້ອຍ ຫນຶ່ງ ໃນ 10 ປີ ທີ່ ຜ່ານ ມາ [17.19.2],,,ເລກທີ,,1
2015,_L_LA_171902_02,,,ເລກທີ,,82128
2015,_L_LA_171902_02,,ຜູ້ຊາຍ,ເລກທີ,,35930
2015,_L_LA_171902_02,,ຜູ້ຍິງ,ເລກທີ,,46198
2016,_L_LA_171902_02,,,ເລກທີ,,61746
2016,_L_LA_171902_02,,ຜູ້ຊາຍ,ເລກທີ,,31217
2016,_L_LA_171902_02,,ຜູ້ຍິງ,ເລກທີ,,30529
2017,_L_LA_171902_02,,,ເລກທີ,,61416
2017,_L_LA_171902_02,,ຜູ້ຊາຍ,ເລກທີ,,30180
2017,_L_LA_171902_02,,ຜູ້ຍິງ,ເລກທີ,,31236
2018,_L_LA_171902_02,,,ເລກທີ,,70732
2018,_L_LA_171902_02,,ຜູ້ຊາຍ,ເລກທີ,,35324
2018,_L_LA_171902_02,,ຜູ້ຍິງ,ເລກທີ,,35408
