Year,SERIES,REF_AREA,ເພດ,AGE,ລະດັບການເມືອງ,UNIT_MEASURE,GeoCode,Value
1993,,,,,,ເປີເຊັນ,,50.0
1998,,,,,,ເປີເຊັນ,,39.0
2003,,,,,,ເປີເຊັນ,,33.5
2008,,,,,,ເປີເຊັນ,,27.6
2013,,,,,,ເປີເຊັນ,,24.6
2018,,,,,,ເປີເຊັນ,,18.3
2013,,,,,ຕົວເມືອງ,ເປີເຊັນ,,7.9
2018,,,,,ຕົວເມືອງ,ເປີເຊັນ,,7.0
2013,,,,,ຊົນນະບົດ,ເປີເຊັນ,,31.4
2018,,,,,ຊົນນະບົດ,ເປີເຊັນ,,23.8
2013,,,ຜູ້ຊາຍ,,,ເປີເຊັນ,,24.7
2018,,,ຜູ້ຊາຍ,,,ເປີເຊັນ,,18.5
2013,,,ຜູ້ຍິງ,,,ເປີເຊັນ,,24.6
2018,,,ຜູ້ຍິງ,,,ເປີເຊັນ,,18.2
2013,,,,Y0T14,,ເປີເຊັນ,,32.6
2013,,,,Y15T24,,ເປີເຊັນ,,22.7
2013,,,,Y55T64,,ເປີເຊັນ,,18.0
2013,,,,Y_GE65,,ເປີເຊັນ,,22.1
2018,,,,Y0T14,,ເປີເຊັນ,,24.3
2018,,,,Y15T24,,ເປີເຊັນ,,19.7
2018,,,,Y55T64,,ເປີເຊັນ,,12.4
2018,,,,Y_GE65,,ເປີເຊັນ,,15.1
